Name,TeamAbbreviation,Minutes,OffPoss,Points,FG2M,FG2A,Fg2Pct,FG3M,FG3A,Fg3Pct,NonHeaveFg3Pct,FtPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,FG3APct,ShotQualityAvg,EfgPct,TsPct,PtsPutbacks,Fg2aBlocked,FG2APctBlocked,Fg3aBlocked,FG3APctBlocked,Usage
Marcus Morris Sr.,LAC,24,44,10,1,2,0.5,2,6,0.333333333,0.333333333,2,2,0,6,0,1,1,1,0.75,0.51170625,0.5,0.555555556,0,1,0.5,0,0,18.75
Kyle Lowry,MIA,23,42,20,6,7,0.857142857,2,3,0.666666667,0.666666667,2,0,12,6,0,0,0,1,0.3,0.5191,0.9,0.909090909,0,0,0,0,0,27.27272727
Otto Porter Jr.,GSW,23,43,9,3,3,1,1,1,1,1,0,4,2,3,0,0.666666667,0.666666667,1,0.25,0.4288375,1.125,1.125,0,0,0,0,0,8.333333333
Jeff Green,DEN,23,46,6,3,4,0.75,0,0,0,0,0,4,2,0,0,0.666666667,1,0,0,0.57185,0.75,0.75,2,0,0,0,0,7.692307692
Keldon Johnson,SAS,23,51,16,3,8,0.375,2,5,0.4,0.4,4,6,0,6,0,1,1,1,0.384615385,0.521692308,0.461538462,0.5,0,1,0.125,0,0,30.35714286
Derrick Jones Jr.,CHI,22,44,6,2,4,0.5,0,1,0,0,2,2,2,0,0,0.5,1,0,0.2,0.65742,0.4,0.5,2,1,0.25,0,0,11.53846154
RJ Barrett,NYK,22,42,12,4,5,0.8,1,3,0.333333333,0.333333333,1,8,0,3,0,1,1,1,0.375,0.58078125,0.6875,0.666666667,0,0,0,0,0,19.56521739
Malik Beasley,MIN,22,44,7,2,3,0.666666667,1,6,0.166666667,0.2,0,0,4,3,0,0,0,1,0.666666667,0.48265625,0.388888889,0.388888889,2,0,0,0,0,19.56521739
CJ McCollum,POR,22,42,10,2,7,0.285714286,2,3,0.666666667,0.666666667,0,2,2,3,3,0.5,0.5,0.5,0.3,0.526375,0.5,0.5,0,0,0,0,0,25
George Hill,MIL,22,40,5,1,2,0.5,1,2,0.5,0.5,0,0,2,3,0,0,0,1,0.5,0.5815,0.625,0.625,2,1,0.5,0,0,9.803921569
Andre Iguodala,GSW,22,37,3,0,0,0,1,2,0.5,0.5,0,0,0,3,0,0,0,1,1,0.488625,0.75,0.75,0,0,0,0,0,5
Clint Capela,ATL,21,40,4,2,3,0.666666667,0,0,0,0,0,2,2,0,0,0.5,1,0,0,0.557066667,0.666666667,0.5,2,0,0,0,0,8.163265306
Naz Reid,MIN,21,41,9,4,5,0.8,0,1,0,0,1,4,4,0,0,0.5,0.666666667,0,0.166666667,0.556525,0.666666667,0.642857143,2,0,0,0,0,20.45454545
Raul Neto,WAS,21,45,7,2,5,0.4,0,1,0,0,3,2,2,0,0,0.5,1,0,0.166666667,0.443333333,0.333333333,0.4375,2,0,0,0,0,20
Pascal Siakam,TOR,21,41,7,3,8,0.375,0,1,0,0,1,4,2,0,0,0.666666667,0.666666667,0,0.111111111,0.425438889,0.333333333,0.35,0,0,0,0,0,22.91666667
Anfernee Simons,POR,21,36,13,3,6,0.5,2,5,0.4,0.4,1,2,4,6,0,0.333333333,0.333333333,1,0.454545455,0.525490909,0.545454545,0.590909091,0,0,0,0,0,25.58139535
Jeremiah Robinson-Earl,OKC,21,47,9,2,4,0.5,1,3,0.333333333,0.333333333,2,4,0,3,0,1,1,1,0.428571429,0.626314286,0.5,0.5625,0,1,0.25,0,0,18.51851852
Grayson Allen,MIL,21,35,3,0,1,0,1,6,0.166666667,0.166666667,0,0,0,3,0,0,0,1,0.857142857,0.539492857,0.214285714,0.214285714,0,1,1,0,0,17.77777778
Mitchell Robinson,NYK,21,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6565,0,0,0,1,1,0,0,2.380952381
Cory Joseph,DET,21,50,3,0,3,0,1,1,1,1,0,0,0,3,0,0,0,1,0.25,0.4351375,0.375,0.375,0,1,0.333333333,0,0,8.928571429
P.J. Tucker,MIA,21,38,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.337,0,0.5,0,0,0,0,0,4.87804878
Steven Adams,MEM,21,38,8,2,3,0.666666667,0,0,0,0,4,0,4,0,0,0,0,0,0,0.441333333,0.666666667,0.8,4,0,0,0,0,16
Jerami Grant,DET,21,45,11,1,5,0.2,0,0,0,0,9,0,2,0,0,0,0,0,0,0.41986,0.2,0.55,0,0,0,0,0,19.23076923
Devin Vassell,SAS,21,40,3,0,1,0,1,2,0.5,0.5,0,0,0,3,0,0,0,1,0.666666667,0.484266667,0.5,0.375,0,0,0,0,0,8.695652174
Cameron Johnson,PHX,20,40,12,0,1,0,4,8,0.5,0.5,0,0,0,12,0,0,0,1,0.888888889,0.527194444,0.666666667,0.666666667,0,0,0,0,0,20.45454545
Jae'Sean Tate,HOU,20,41,13,4,6,0.666666667,0,0,0,0,5,4,4,0,0,0.5,1,0,0,0.539233333,0.666666667,0.722222222,4,1,0.166666667,0,0,19.14893617
Nickeil Alexander-Walker,NOP,20,40,16,2,6,0.333333333,4,7,0.571428571,0.571428571,0,4,0,12,0,1,1,1,0.538461538,0.481346154,0.615384615,0.615384615,0,0,0,0,0,31.11111111
Larry Nance Jr.,POR,20,32,4,2,2,1,0,1,0,0,0,0,4,0,0,0,0,0,0.333333333,0.644966667,0.666666667,0.666666667,4,0,0,0,0,7.5
Blake Griffin,BKN,20,34,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0.54405,0,0,0,0,0,0,0,6.976744186
Isaac Okoro,CLE,20,35,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0.588675,0,0.166666667,0,0,0,0,0,12.19512195
Mike Muscala,OKC,20,42,10,2,4,0.5,2,8,0.25,0.25,0,2,2,6,0,0.5,1,1,0.666666667,0.52455,0.416666667,0.416666667,2,1,0.25,0,0,25
Torrey Craig,IND,19,39,2,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0.666666667,0.571516667,0,0.25,0,0,0,0,0,8.888888889
Deni Avdija,WAS,19,37,9,4,5,0.8,0,3,0,0,1,6,2,0,0,0.75,1,0,0.375,0.56150625,0.5,0.5,2,0,0,0,0,24.44444444
Reggie Bullock,DAL,19,33,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.666666667,0.506816667,0,0,0,1,1,0,0,10.25641026
Mike Conley,UTA,19,32,15,2,4,0.5,3,5,0.6,0.6,2,2,2,6,3,0.5,0.5,0.666666667,0.555555556,0.479555556,0.722222222,0.75,0,1,0.25,0,0,31.42857143
Kevin Huerter,ATL,19,35,4,0,1,0,1,2,0.5,0.5,1,0,0,3,0,0,0,1,0.666666667,0.491733333,0.5,0.666666667,0,0,0,0,0,13.63636364
